plntname,centralwavelng,bandwidth,especlipdep,espbritemp,plntreflink,facility,instrument
WASP-80 b,3.6,,0.455,901,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-80 b,4.5,,0.944,888,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,3.6,,0.0662,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,4.5,,0.1426,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
XO-3 b,4.5,,0.158,,<a refstr=WONG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..134W/abstract target=ref>Wong et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,1.125,0.05,0.119,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.175,0.05,0.128,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.225,0.05,0.101,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.275,0.05,0.142,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.325,0.05,0.154,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.375,0.05,0.156,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.425,0.05,0.184,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.475,0.05,0.198,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.525,0.05,0.196,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.575,0.05,0.179,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.625,0.05,0.192,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,3.6,,0.421,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,4.5,,0.428,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,5.8,,0.696,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,8,,0.696,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-43 b,1.1425,0.035,0.0367,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.1775,0.035,0.0431,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2125,0.035,0.0414,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2475,0.035,0.0482,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.2825,0.035,0.046,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3175,0.035,0.0473,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3525,0.035,0.0353,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.3875,0.035,0.0313,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.4225,0.035,0.032,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.4575,0.035,0.0394,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.4925,0.035,0.0439,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5275,0.035,0.0458,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5625,0.035,0.0595,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5975,0.035,0.0614,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.6325,0.035,0.0732,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
TrES-1 b,3.6,0.75,0.083,1270,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,4.5,1.015,0.094,1126,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,5.8,1.425,0.162,1205,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,8,2.905,0.213,1190,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,16,,0.33,1270,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-32 b,2.15,,0.178,2096,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
HAT-P-32 b,1.635,,0.09,2065,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
HAT-P-32 b,3.6,,0.364,2063,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-32 b,4.5,,0.438,2014,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-43 b,0.763,,0.037,2225,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
WASP-43 b,2.19,0.39,0.197,1878,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
WASP-19 b,0.866,0.13,0.08,,<a refstr=ZHOU_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774..118Z/abstract target=ref> Zhou et al. 2013</a>,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),Merope 2Kx2K
WASP-3 b,0.65,,0.023,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-3 b,0.65,,-0.02,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-2 b,0.65,,0.023,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-2 b,2.146,,0.062,1636,<a refstr=CROLL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...717.1084C/abstract target=ref> Croll et al. 2010 </a>,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,Wide-field Infrared Camera (WIRCam)
HD 189733 b,8,,0.344,,<a refstr=AGOL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1861A/abstract target=ref> Agol et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-4 b,0.65,,-0.0069,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
GJ 436 b,8,,0.057,712,<a refstr=DEMING_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...667L.199D/abstract target=ref> Deming et al. 2007 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,4.5,,0.51,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,8,,0.41,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-1 b,2.147,,0.336,2460,<a refstr=ROGERS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707.1707R/abstract target=ref> Rogers et al. 2009 </a>,Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS)
CoRoT-1 b,2.095,0.02,0.278,,<a refstr=GILLON_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..359G/abstract target=ref> Gillon et al. 2009 </a>,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,High Acuity Wide-field K-band Imager (HAWK-I)
WASP-121 b,1.131,0.019,0.0921,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.15,0.018,0.0813,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.168,0.019,0.0978,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.187,0.018,0.0963,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.206,0.019,0.1163,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.224,0.019,0.1202,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.243,0.018,0.1109,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.261,0.019,0.0989,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.28,0.018,0.1143,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.298,0.019,0.0966,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.317,0.018,0.1,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.336,0.019,0.1133,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.355,0.019,0.1163,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.373,0.018,0.1185,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.391,0.019,0.1321,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.41,0.018,0.147,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.429,0.019,0.1281,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.447,0.018,0.1238,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.466,0.019,0.1191,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.485,0.019,0.1279,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.503,0.018,0.1479,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.522,0.019,0.1408,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.54,0.018,0.1246,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.558,0.019,0.1321,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.577,0.018,0.1264,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.595,0.019,0.1242,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.614,0.018,0.127,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.632,0.019,0.1123,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,4.5,,0.0176,,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
55 Cnc e,4.5,,0.0047,,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
55 Cnc e,4.5,,0.0131,2360,<a refstr=DEMORY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...751L..28D/abstract target=ref>Demory et al. 2012</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-1 b,3.6,,0.415,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-1 b,4.5,,0.482,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-1 b,1.635,,0.145,,<a refstr=ZHAO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...744..122Z/abstract target=ref>Zhao et al. 2012</a>,Palomar Observatory 200-inch Hale Telescope,Wide-field InfraRed Camera (WIRC)
CoRoT-2 b,2.15,,0.16,1890,<a refstr=ALONSO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010AJ....139.1481A/abstract target=ref>Alonso et al. 2010</a>,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,LIRIS
CoRoT-2 b,3.6,,0.355,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,4.5,,0.5,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,8,,0.51,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
GJ 436 b,3.6,,0.041,1120,<a refstr=STEVENSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464.1161S/abstract target=ref>Stevenson et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
GJ 436 b,5.8,,0.033,720,<a refstr=STEVENSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464.1161S/abstract target=ref>Stevenson et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
GJ 436 b,8,,0.054,740,<a refstr=STEVENSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464.1161S/abstract target=ref>Stevenson et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
GJ 436 b,16,,0.14,980,<a refstr=STEVENSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464.1161S/abstract target=ref>Stevenson et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
GJ 436 b,24,,0.175,960,<a refstr=STEVENSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464.1161S/abstract target=ref>Stevenson et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-19 b,3.6,,0.062,1090,<a refstr=KAMMER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...810..118K/abstract target=ref>Kammer et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-19 b,4.5,,0.062,914,<a refstr=KAMMER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...810..118K/abstract target=ref>Kammer et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,3.6,,0.08,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708..498T/abstract target=ref>Todorov et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,4.5,,0.135,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708..498T/abstract target=ref>Todorov et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,5.8,,0.203,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708..498T/abstract target=ref>Todorov et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,8,,0.238,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708..498T/abstract target=ref>Todorov et al. 2010</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,2.2,,0.109,,<a refstr=DE_MOOIJ_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...528A..49D/abstract target=ref>de Mooij et al. 2011</a>,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,LIRIS
